Compound,Spacegroup,PBE Formation Energy (fit=standard),HSE Formation Energy (fit=standard),PBE Bandgap,HSE Bandgap,natoms,ntypes,PBE Formation Energy (fit=nothing),HSE Formation Energy (fit=nothing),PBE Bandgap Type,HSE Bandgap Type,Exp FE,Data ID
Dy2C,R-3m,-0.286623,-0.404903,0.0,0.0,3,2,-0.286623,-0.404903,N.A.,N.A.,None,H-6397
DyAg2,I4/mmm,-0.330395,-0.338618,0.0,0.0,3,2,-0.330395,-0.338618,N.A.,N.A.,-0.2311,H-11299
DyAl,Pm-3m,-0.394473,-0.493558,0.0,0.0,2,2,-0.394473,-0.493558,N.A.,N.A.,None,H-12991
DyAu,Pm-3m,-0.870896,-0.899917,0.0,0.0,2,2,-0.870896,-0.899917,N.A.,N.A.,-0.8644,H-2148
DyB2,P6/mmm,-0.563477,-0.643772,0.0,0.0,3,2,-0.563477,-0.643772,N.A.,N.A.,-0.313,H-907
DyBiPd,F-43m,-0.939987,-1.196091,0.0,0.11,3,3,-0.939987,-1.196091,N.A.,Direct,None,H-892
DyBiPt,F-43m,-1.036861,-1.260371,0.17,0.0,3,3,-1.036861,-1.260371,Indirect,Direct,None,H-11123
DyBi,Fm-3m,-0.878477,-1.115419,0.06,0.0,2,2,-0.878477,-1.115419,Indirect,N.A.,None,H-10821
DyCd,Pm-3m,-0.326009,-0.377361,0.0,0.0,2,2,-0.326009,-0.377361,N.A.,N.A.,None,H-4244
DyHg,Pm-3m,-0.492694,-0.56883,0.0,0.0,2,2,-0.490035,-0.599701,N.A.,N.A.,None,H-5814
DyIn3,Pm-3m,-0.414434,-0.537762,0.0,0.0,4,2,-0.414434,-0.537762,N.A.,N.A.,-0.4985,H-584
DyIn,Pm-3m,-0.466994,-0.568253,0.0,0.0,2,2,-0.466994,-0.568253,N.A.,N.A.,None,H-5245
DyMg,Pm-3m,-0.077621,-0.119171,0.0,0.0,2,2,-0.077621,-0.119171,N.A.,N.A.,None,H-7943
DyN,Fm-3m,-1.830062,-1.827894,0.05,0.85,2,2,-1.707751,-1.900243,Indirect,Indirect,None,H-11016
DyNiBi,F-43m,-0.688863,-0.872149,0.2,0.31,3,3,-0.688863,-0.872149,Indirect,Indirect,None,H-12656
DyNiSb,F-43m,-0.908347,-1.120002,0.3,0.46,3,3,-0.908347,-1.120002,Indirect,Indirect,None,H-7347
DyPPt,P-6m2,-1.466436,-1.62096,0.0,0.0,3,3,-1.351439,-1.555297,N.A.,N.A.,None,H-9359
